x1 y1 x2 y2 x3 y3 angle1
0 0 76 67 67 0 40.95062716186403
0 0 10 152 73 0 26.276754955115358
0 0 70 17 138 0 152.31333739731653
0 0 94 180 169 0 50.1944289077348
0 0 42 146 72 0 27.660491216421672
0 0 26 122 154 0 58.40543087710729
0 0 68 60 143 0 99.91652612090725
0 0 101 66 170 0 103.10980538791944
0 0 149 174 144 0 38.92818846598616
0 0 46 180 175 0 49.963342710941035
0 0 7 89 53 0 31.829511106835454
0 0 120 42 22 0 3.9085442944594035
0 0 95 59 71 0 36.02205086191446
0 0 19 64 124 0 75.17153564339509
0 0 121 87 79 0 28.514225180922626
0 0 10 87 119 0 57.96129922454753
0 0 145 60 77 0 18.944231227899543
0 0 144 62 6 0 0.8986457333943634
0 0 22 84 143 0 69.90743658196824
0 0 190 192 169 0 38.458110490281044
0 0 169 73 37 0 5.581864630030541
0 0 77 97 109 0 56.70061657722635
0 0 95 139 61 0 20.60586883418536
0 0 168 50 73 0 11.184532844151017
0 0 70 164 170 0 54.48721312343529
0 0 107 128 153 0 59.66068410446327
0 0 150 16 38 0 2.0415741999606456
0 0 185 180 173 0 41.97074976870153
0 0 78 107 167 0 75.84386108644193
0 0 176 95 114 0 28.511301085457873
0 0 38 88 198 0 84.54477111631294
0 0 55 143 108 0 41.37369631295825
0 0 177 195 122 0 26.47861053934677
0 0 80 31 19 0 5.758178563534644
0 0 50 106 159 0 71.05258750789143
0 0 54 119 29 0 12.543278216498914
0 0 129 68 157 0 84.58499542712423
0 0 98 170 162 0 50.59206404254393
0 0 191 109 111 0 24.010815065799726
0 0 26 188 12 0 3.6150920095553194
0 0 116 154 169 0 55.97996943714666
0 0 35 85 108 0 63.036895100270186
0 0 58 90 190 0 88.51265429541026
0 0 104 183 120 0 34.606590285843346
0 0 176 96 94 0 20.886691948702538
0 0 151 13 161 0 122.6479759924635
0 0 48 82 53 0 33.832573790035966
0 0 157 107 10 0 1.7749904532620915
0 0 75 49 122 0 100.64858669134573
0 0 68 142 67 0 25.185028406257683
0 0 41 109 34 0 16.93912937736893
0 0 18 196 99 0 27.700748880615652
0 0 183 127 123 0 29.95180636721709
0 0 92 63 63 0 30.879894233940178
0 0 126 8 107 0 19.200703438429333
0 0 33 117 3 0 1.3697790723624845
0 0 64 113 29 0 12.31642979069385
0 0 21 13 9 0 15.5311299578257
0 0 117 49 39 0 9.413146829300729
0 0 198 100 183 0 54.6731530960784
0 0 12 106 104 0 47.414330804537556
0 0 189 153 184 0 49.137260992205775
0 0 10 170 33 0 11.071457862268788
0 0 20 20 78 0 115.97439396243132
0 0 186 178 191 0 47.86805411322267
0 0 86 9 107 0 150.8270861998712
0 0 121 49 93 0 38.209205240686266
0 0 9 45 31 0 37.36342778451117
0 0 55 66 122 0 85.23635830927383
0 0 1 83 175 0 65.18859865854199
0 0 93 76 180 0 99.60489094865044
0 0 141 43 11 0 1.3427792196830355
0 0 191 124 40 0 6.400343952043082
0 0 100 7 192 0 171.64474910771673
0 0 94 111 41 0 14.736064925040788
0 0 138 96 189 0 83.15498523152336
0 0 155 55 110 0 31.173938199371264
0 0 152 62 80 0 18.541817803586657
0 0 42 177 24 0 7.5420002077558115
0 0 162 112 146 0 47.21154294032292
0 0 112 88 193 0 94.47093122284171
0 0 44 150 130 0 46.175256201825995
0 0 87 143 54 0 18.321363455835957
0 0 28 89 51 0 31.953689485727306
0 0 54 35 17 0 10.459644612214959
0 0 52 7 188 0 169.38674835817355
0 0 135 114 80 0 24.06549531792557
0 0 153 149 121 0 33.63782467168279
0 0 12 142 18 0 7.2499291749462875
0 0 68 195 24 0 6.509243331551481
0 0 128 190 178 0 48.71108959557305
0 0 63 55 178 0 113.31855933102389
0 0 181 160 89 0 18.625126745259642
0 0 111 34 68 0 21.303183336211575
0 0 128 139 16 0 3.7805162673422736
0 0 183 140 20 0 3.242163798986935
0 0 163 84 174 0 70.1968205661069
0 0 67 86 104 0 61.20002759339045
0 0 132 29 2 0 0.18460883906217262
0 0 114 72 110 0 54.54452556555814
0 0 131 93 41 0 10.56734707422226
0 0 74 8 80 0 120.69972255081441
0 0 61 54 73 0 61.012079178149186
0 0 181 138 99 0 21.958077470502847
0 0 135 175 11 0 2.3273241663854356
0 0 63 173 132 0 41.753978987660524
0 0 179 190 71 0 13.677689758268661
0 0 74 18 118 0 144.0796692105918
0 0 119 69 183 0 102.74051016974114
0 0 52 60 41 0 30.525525404555516
0 0 190 176 195 0 48.817857186431816
0 0 52 35 13 0 7.96235492133107
0 0 3 81 186 0 68.24581554273394
0 0 149 117 140 0 47.46105465053028
0 0 147 50 42 0 6.678324549276139
0 0 62 30 164 0 137.78946769177594
0 0 93 31 1 0 0.18663054356455197
0 0 136 61 147 0 76.06453130089825
0 0 149 89 139 0 52.73863606611274
0 0 14 96 1 0 0.5852525571779836
0 0 65 138 61 0 23.560832824708587
0 0 25 190 69 0 20.53451422275285
0 0 126 113 27 0 6.891636455218794
0 0 11 140 179 0 54.687010387650126
0 0 127 49 13 0 2.161271356539253
0 0 179 30 7 0 0.37970012489400784
0 0 19 71 36 0 28.446840667202625
0 0 198 26 56 0 2.8949587405274375
0 0 109 152 104 0 33.7604561123781
0 0 150 140 44 0 9.844009562672456
0 0 105 79 18 0 5.2837865748849495
0 0 180 133 108 0 25.110667843733886
0 0 16 61 135 0 77.55741335019096
0 0 95 180 115 0 34.16428813016317
0 0 133 186 78 0 19.0939145849027
0 0 137 117 100 0 31.953187262973202
0 0 166 48 104 0 21.619229561314846
0 0 96 14 49 0 8.290193587090537
0 0 10 64 122 0 69.13577785357802
0 0 125 31 120 0 66.9093110151246
0 0 164 185 31 0 5.843482307537636
0 0 99 128 46 0 15.22709901694759
0 0 196 71 105 0 18.04939830996693
0 0 31 92 195 0 79.33021719550332
